# stan_version_major = 2
# stan_version_minor = 26
# stan_version_patch = 1
# model = BNN_partial_sum_SLICED_ARGS_y_SHARED_ARGS_logit_column_indexing_model
# method = sample (Default)
#   sample
#     num_samples = 1
#     num_warmup = 1
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 1
# data
#   file = /tmp/tmpxwezgt4n/b8eb_xd7.json
# init = 2 (Default)
# random
#   seed = 1
# output
#   file = /home/jmaronasm/STAN_time_comparison/results/cpu/NO_openMPI_threads_10/partial_sum_SLICED_ARGS_y_SHARED_ARGS_logit_column_indexing/BNN_partial_sum_SLICED_ARGS_y_SHARED_ARGS_logit_column_indexing-202103231627-1.csv
#   diagnostic_file = /home/jmaronasm/STAN_time_comparison/results/cpu/NO_openMPI_threads_10/partial_sum_SLICED_ARGS_y_SHARED_ARGS_logit_column_indexing/BNN_partial_sum_SLICED_ARGS_y_SHARED_ARGS_logit_column_indexing-202103231627-diagnostic-1.csv
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 10
# stanc_version = stanc3 v2.26.1
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,W.1.1,W.2.1,W.3.1,W.4.1,W.5.1,W.6.1,W.7.1,W.8.1,W.9.1,W.10.1,W.1.2,W.2.2,W.3.2,W.4.2,W.5.2,W.6.2,W.7.2,W.8.2,W.9.2,W.10.2,W.1.3,W.2.3,W.3.3,W.4.3,W.5.3,W.6.3,W.7.3,W.8.3,W.9.3,W.10.3,W.1.4,W.2.4,W.3.4,W.4.4,W.5.4,W.6.4,W.7.4,W.8.4,W.9.4,W.10.4,W.1.5,W.2.5,W.3.5,W.4.5,W.5.5,W.6.5,W.7.5,W.8.5,W.9.5,W.10.5,W.1.6,W.2.6,W.3.6,W.4.6,W.5.6,W.6.6,W.7.6,W.8.6,W.9.6,W.10.6,W.1.7,W.2.7,W.3.7,W.4.7,W.5.7,W.6.7,W.7.7,W.8.7,W.9.7,W.10.7,W.1.8,W.2.8,W.3.8,W.4.8,W.5.8,W.6.8,W.7.8,W.8.8,W.9.8,W.10.8,W.1.9,W.2.9,W.3.9,W.4.9,W.5.9,W.6.9,W.7.9,W.8.9,W.9.9,W.10.9,W.1.10,W.2.10,W.3.10,W.4.10,W.5.10,W.6.10,W.7.10,W.8.10,W.9.10,W.10.10
-126528,1,0.0078125,4,15,0,1.52839e+06,2.74962,0.389375,0.285472,0.143838,-0.123739,-1.01272,-0.994159,-0.918163,1.05945,-0.157796,-1.09198,3.21929,-0.634958,-0.821848,-1.57709,0.0475078,-0.231379,-1.95773,-0.601814,-0.94537,1.3397,-1.60791,2.83385,-0.073328,-0.570278,-1.56237,-0.44277,-0.26127,0.684573,-1.23499,-1.42825,-0.218808,1.34515,2.94445,-1.2848,-0.855869,-0.941407,-1.45255,0.346053,-1.25024,0.662827,0.263121,1.19973,-0.625495,3.33948,-1.09626,-0.933022,0.829882,-0.699583,-0.183468,-1.21627,-0.170825,0.391362,-0.266351,0.540155,1.13328,-1.27818,0.289895,-1.04246,-0.458931,-0.834727,-0.265991,0.117476,0.402296,-0.642734,-1.08824,2.68432,-0.0729433,-0.893747,-0.808804,-1.97403,-0.309017,-0.783065,-0.217436,0.341452,-0.632481,-1.80526,3.83419,0.754194,-0.184831,-0.000202305,0.610378,0.683691,-1.09212,0.170144,-0.622783,0.102804,-0.879088,3.33684,-0.0993298,-0.00883775,0.9382,1.43842,-1.33377,-1.20035,-0.636506,0.851956,-0.31408,0.526177,2.0471
# Adaptation terminated
# Step size = 14.3855
# Diagonal elements of inverse mass matrix:
# 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
-126528,0,14.3855,0,1,1,126584,2.74962,0.389375,0.285472,0.143838,-0.123739,-1.01272,-0.994159,-0.918163,1.05945,-0.157796,-1.09198,3.21929,-0.634958,-0.821848,-1.57709,0.0475078,-0.231379,-1.95773,-0.601814,-0.94537,1.3397,-1.60791,2.83385,-0.073328,-0.570278,-1.56237,-0.44277,-0.26127,0.684573,-1.23499,-1.42825,-0.218808,1.34515,2.94445,-1.2848,-0.855869,-0.941407,-1.45255,0.346053,-1.25024,0.662827,0.263121,1.19973,-0.625495,3.33948,-1.09626,-0.933022,0.829882,-0.699583,-0.183468,-1.21627,-0.170825,0.391362,-0.266351,0.540155,1.13328,-1.27818,0.289895,-1.04246,-0.458931,-0.834727,-0.265991,0.117476,0.402296,-0.642734,-1.08824,2.68432,-0.0729433,-0.893747,-0.808804,-1.97403,-0.309017,-0.783065,-0.217436,0.341452,-0.632481,-1.80526,3.83419,0.754194,-0.184831,-0.000202305,0.610378,0.683691,-1.09212,0.170144,-0.622783,0.102804,-0.879088,3.33684,-0.0993298,-0.00883775,0.9382,1.43842,-1.33377,-1.20035,-0.636506,0.851956,-0.31408,0.526177,2.0471
# 
#  Elapsed Time: 8.489 seconds (Warm-up)
#                0.939 seconds (Sampling)
#                9.428 seconds (Total)
