# stan_version_major = 2
# stan_version_minor = 26
# stan_version_patch = 1
# model = BNN_partial_sum_SLICED_ARGS_y_SHARED_ARGS_logit_row_indexing_model
# method = sample (Default)
#   sample
#     num_samples = 1
#     num_warmup = 1
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 1
# data
#   file = /tmp/tmp0pcsv19b/g6gw2n6l.json
# init = 2 (Default)
# random
#   seed = 1
# output
#   file = /home/jmaronasm/STAN_time_comparison/results/cpu/NO_openMPI_threads_10/partial_sum_SLICED_ARGS_y_SHARED_ARGS_logit_row_indexing/BNN_partial_sum_SLICED_ARGS_y_SHARED_ARGS_logit_row_indexing-202103231629-1.csv
#   diagnostic_file = /home/jmaronasm/STAN_time_comparison/results/cpu/NO_openMPI_threads_10/partial_sum_SLICED_ARGS_y_SHARED_ARGS_logit_row_indexing/BNN_partial_sum_SLICED_ARGS_y_SHARED_ARGS_logit_row_indexing-202103231629-diagnostic-1.csv
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 10
# stanc_version = stanc3 v2.26.1
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,W.1.1,W.2.1,W.3.1,W.4.1,W.5.1,W.6.1,W.7.1,W.8.1,W.9.1,W.10.1,W.1.2,W.2.2,W.3.2,W.4.2,W.5.2,W.6.2,W.7.2,W.8.2,W.9.2,W.10.2,W.1.3,W.2.3,W.3.3,W.4.3,W.5.3,W.6.3,W.7.3,W.8.3,W.9.3,W.10.3,W.1.4,W.2.4,W.3.4,W.4.4,W.5.4,W.6.4,W.7.4,W.8.4,W.9.4,W.10.4,W.1.5,W.2.5,W.3.5,W.4.5,W.5.5,W.6.5,W.7.5,W.8.5,W.9.5,W.10.5,W.1.6,W.2.6,W.3.6,W.4.6,W.5.6,W.6.6,W.7.6,W.8.6,W.9.6,W.10.6,W.1.7,W.2.7,W.3.7,W.4.7,W.5.7,W.6.7,W.7.7,W.8.7,W.9.7,W.10.7,W.1.8,W.2.8,W.3.8,W.4.8,W.5.8,W.6.8,W.7.8,W.8.8,W.9.8,W.10.8,W.1.9,W.2.9,W.3.9,W.4.9,W.5.9,W.6.9,W.7.9,W.8.9,W.9.9,W.10.9,W.1.10,W.2.10,W.3.10,W.4.10,W.5.10,W.6.10,W.7.10,W.8.10,W.9.10,W.10.10
-357064,0.5,0.0078125,1,2,1,1.80534e+06,2.84341,-0.832845,2.24105,0.898019,0.372579,-1.60066,-1.26165,-0.688285,0.693096,-1.24586,-0.528507,3.50207,-1.81127,-0.833549,-0.667023,-1.39925,-1.45407,-1.16588,-0.444198,0.269533,-1.28868,0.531997,2.02961,-0.187628,-0.0821203,-0.76686,-1.26283,0.571576,-0.0887744,-0.349344,-1.11976,0.511928,1.11888,1.64639,-1.52019,-1.08271,-0.85185,-1.447,1.01747,-1.13641,0.580486,-0.553686,1.67238,-1.14493,3.01909,0.778769,-0.157071,0.30322,-0.463864,-1.26005,-1.28789,-0.498956,0.0597616,-0.731593,0.0659333,2.67589,0.199013,-0.0903998,-1.14711,-1.30605,-0.903221,-0.843915,1.76499,0.736122,-0.768739,-0.671395,2.79425,-0.565905,-1.08917,-1.86972,-1.17629,0.0179245,-1.57095,-0.613239,-1.17502,-0.919723,0.202478,3.17775,0.850688,0.198102,0.550251,0.167318,-0.198486,0.123039,0.120386,-1.89202,-0.856578,-0.481883,3.65348,1.06496,0.544868,0.800596,1.55521,-0.773816,-0.380865,-1.48209,-0.340337,-0.504559,0.463466,2.40156
# Adaptation terminated
# Step size = 5.79578
# Diagonal elements of inverse mass matrix:
# 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
-357064,0,5.79578,0,1,1,357124,2.84341,-0.832845,2.24105,0.898019,0.372579,-1.60066,-1.26165,-0.688285,0.693096,-1.24586,-0.528507,3.50207,-1.81127,-0.833549,-0.667023,-1.39925,-1.45407,-1.16588,-0.444198,0.269533,-1.28868,0.531997,2.02961,-0.187628,-0.0821203,-0.76686,-1.26283,0.571576,-0.0887744,-0.349344,-1.11976,0.511928,1.11888,1.64639,-1.52019,-1.08271,-0.85185,-1.447,1.01747,-1.13641,0.580486,-0.553686,1.67238,-1.14493,3.01909,0.778769,-0.157071,0.30322,-0.463864,-1.26005,-1.28789,-0.498956,0.0597616,-0.731593,0.0659333,2.67589,0.199013,-0.0903998,-1.14711,-1.30605,-0.903221,-0.843915,1.76499,0.736122,-0.768739,-0.671395,2.79425,-0.565905,-1.08917,-1.86972,-1.17629,0.0179245,-1.57095,-0.613239,-1.17502,-0.919723,0.202478,3.17775,0.850688,0.198102,0.550251,0.167318,-0.198486,0.123039,0.120386,-1.89202,-0.856578,-0.481883,3.65348,1.06496,0.544868,0.800596,1.55521,-0.773816,-0.380865,-1.48209,-0.340337,-0.504559,0.463466,2.40156
# 
#  Elapsed Time: 1.741 seconds (Warm-up)
#                1.014 seconds (Sampling)
#                2.755 seconds (Total)
